product name full,product link,price,review-count,thumbnail,categories,subcategories
"Maxxis Aggressor Dual EXO Protection 27.5"" Folding Tyre",https://www.bike-components.de/en/Maxxis/Aggressor-Dual-EXO-Protection-27-5-Folding-Tyre-p46863/,36.09 €,,,Tyres,"27.5"" Tyres"
"Maxxis Minion DHR II 3C MaxxGrip Downhill 27.5"" Wired Tyre",https://www.bike-components.de/en/Maxxis/Minion-DHR-II-3C-MaxxGrip-Downhill-27-5-Wired-Tyre-p47510/,50.38 €,,,Tyres,"27.5"" Tyres"
"Maxxis Ikon 3C MaxxSpeed EXO TR 27.5"" Folding Tyre",https://www.bike-components.de/en/Maxxis/Ikon-3C-MaxxSpeed-EXO-TR-27-5-Folding-Tyre-p47534/,43.66 €,2,,Tyres,"27.5"" Tyres"
Maxxis Rekon+ Dual EXO 27.5+ Folding Tyre,https://www.bike-components.de/en/Maxxis/Rekon-Dual-EXO-27-5-Folding-Tyre-p49843/,46.18 €,1,,Tyres,"27.5"" Tyres"
Onza Canis B+ 27.5+ Folding Tyre,https://www.bike-components.de/en/Onza/Canis-B-27-5-Folding-Tyre-p51846/,23.52 €,,,Tyres,"27.5"" Tyres"
Schwalbe G-One Allround SnakeSkin 27.5+ Folding Tyre,https://www.bike-components.de/en/Schwalbe/G-One-Allround-SnakeSkin-27-5-Folding-Tyre-p52171/,25.17 €,,,Tyres,"27.5"" Tyres"
"Schwalbe G-One Speed Evolution SnakeSkin 27.5"" Folding Tyre - 2017",https://www.bike-components.de/en/Schwalbe/G-One-Speed-Evolution-SnakeSkin-27-5-Folding-Tyre-2017-p52179/,36.09 €,,,Tyres,"27.5"" Tyres"
Schwalbe Nobby Nic Evolution PaceStar Apex 27.5+ Folding Tyre – Closeout,https://www.bike-components.de/en/Schwalbe/Nobby-Nic-Evolution-PaceStar-Apex-27-5-Folding-Tyre-Closeout-p52290/,from  31.08€,,,Tyres,"27.5"" Tyres"
Maxxis Minion DHF+ Dual EXO TR 27.5+ Folding Tyre,https://www.bike-components.de/en/Maxxis/Minion-DHF-Dual-EXO-TR-27-5-Folding-Tyre-p52758/,39.49 €,2,,Tyres,"27.5"" Tyres"
Maxxis Minion DHR II+ Dual EXO TR 27.5+ Folding Tyre,https://www.bike-components.de/en/Maxxis/Minion-DHR-II-Dual-EXO-TR-27-5-Folding-Tyre-p52764/,47.02 €,3,,Tyres,"27.5"" Tyres"
Maxxis HighRoller II+ Dual 27.5+ Folding Tyre,https://www.bike-components.de/en/Maxxis/HighRoller-II-Dual-27-5-Folding-Tyre-p52767/,from  38.65€,,,Tyres,"27.5"" Tyres"
Maxxis Minion DHF+ 3C MaxxTerra/Rekon+ Dual TR EXO 27.5+ Folding Tyre Set,https://www.bike-components.de/en/Maxxis/Minion-DHF-3C-MaxxTerra-Rekon-Dual-TR-EXO-27-5-Folding-Tyre-Set-p55785/,96.64 €,,https://static.bike-components.de/cache/p/s1/5/5/Maxxis-Minion-DHF-3C-MaxxTerra-Rekon-Dual-TR-EXO-27-5-Folding-Tyre-Set-55785-0-1549955880.jpeg,Tyres,"27.5"" Tyres"
"Panaracer Pasela ProTite 27.5"" Folding Tyre",https://www.bike-components.de/en/Panaracer/Pasela-ProTite-27-5-Folding-Tyre-p56734/,from  26.01€,,https://static.bike-components.de/cache/p/s1/5/6/Panaracer-Pasela-ProTite-27-5-Folding-Tyre-56734-0-1546441584.jpeg,Tyres,"27.5"" Tyres"
